Title,Paper_URL,OpenReview_URL,Authors
"Graph Classification Gaussian Processes via Hodgelet Spectral Features","https://openreview.net/pdf?id=zgLOn7f2Lp","https://openreview.net/forum?id=zgLOn7f2Lp","Mathieu Alain, So Takao, Bastian Rieck, Xiaowen Dong, and Emmanuel Noutahi"
"Bayesian Optimization over Bounded Domains with Beta Product Kernels","https://openreview.net/pdf?id=zM0WHXB3xf","https://openreview.net/forum?id=zM0WHXB3xf","Huy Hoang Nguyen, Han Zhou, Matthew B. Blaschko, and Aleksei Tiulpin"
"Integration-free kernels for equivariant Gaussian fields with application in dipole moment prediction","https://openreview.net/pdf?id=zH17neJROJ","https://openreview.net/forum?id=zH17neJROJ","Tim Steinert, David Ginsbourger, August Smart Lykke-Møller, Ove Christiansen, and Henry Moss"
"Distributionally Robust Optimisation with Bayesian Ambiguity Sets","https://openreview.net/pdf?id=woNEqCWJ9g","https://openreview.net/forum?id=woNEqCWJ9g","Charita Dellaporta, Patrick O'Hara, and Theodoros Damoulas"
"Preference-based Multi-Objective Bayesian Optimization with Gradients","https://openreview.net/pdf?id=w4q5uzGKzf","https://openreview.net/forum?id=w4q5uzGKzf","Joshua Hang Sai Ip, Ankush Chakrabarty, Hideyuki Masui, Ali Mesbah, and Diego Romeres"
"Uncertainty Modeling in Graph Neural Networks via Stochastic Differential Equations","https://openreview.net/pdf?id=uwC1RRSqjz","https://openreview.net/forum?id=uwC1RRSqjz","Richard Bergna, Sergio Calvo Ordoñez, Felix Opolka, Pietro Lio, and José Miguel Hernández-Lobato"
"Information Directed Tree Search: Reasoning and Planning with Language Agents","https://openreview.net/pdf?id=turWYO1w2Q","https://openreview.net/forum?id=turWYO1w2Q","Yash Chandak, HyunJi Nam, Allen Nie, Jonathan Lee, and Emma Brunskill"
"Convergence Rates of Bayesian Network Policy Gradient for Cooperative Multi-Agent Reinforcement Learning","https://openreview.net/pdf?id=tLHd9gg57A","https://openreview.net/forum?id=tLHd9gg57A","Dingyang Chen, Zhenyu Zhang, Xiaolong Kuang, Xinyang Shen, Ozalp Ozer, and Qi Zhang"
"Bayesian Outcome Weighted Learning","https://openreview.net/pdf?id=tJhNfWiq4m","https://openreview.net/forum?id=tJhNfWiq4m","Nikki L. B. Freeman, and Sophia Yazzourh"
"NODE-GAMLSS: Interpretable Uncertainty Modelling via Deep Distributional Regression","https://openreview.net/pdf?id=sWvTLlRkzy","https://openreview.net/forum?id=sWvTLlRkzy","Ananyapam De, Anton Frederik Thielmann, and Benjamin Säfken"
"Variational Inference for Interacting Particle Systems with Discrete Latent States","https://openreview.net/pdf?id=sQLGEw0RKp","https://openreview.net/forum?id=sQLGEw0RKp","Giosue Migliorini, and Padhraic Smyth"
"BALLAST: Bayesian Active Learning with Look-ahead Amendment for Sea-drifter Trajectories","https://openreview.net/pdf?id=sKjBnOQwtO","https://openreview.net/forum?id=sKjBnOQwtO","Rui-Yang Zhang, Henry Moss, Lachlan Astfalck, Edward Cripps, and David S. Leslie"
"GLEAM-AI: Neural Surrogate for Accelerated Epidemic Analytics and Forecasting","https://openreview.net/pdf?id=s4euyVmV9e","https://openreview.net/forum?id=s4euyVmV9e","Mohammadmehdi Zahedi, Dongxia Wu, Jessica T. Davis, Yian Ma, Alessandro Vespignani, Rose Yu, and Matteo Chinazzi"
"Active Learning for Affinity Prediction of Antibodies","https://openreview.net/pdf?id=rSnUPJ2n1D","https://openreview.net/forum?id=rSnUPJ2n1D","Alexandra Gessner, Sebastian W. Ober, Owen Niall Vickery, Dino Oglic, and Talip Ucar"
"Gradient-free variational learning with conditional mixture networks","https://openreview.net/pdf?id=pb2U4WrAAv","https://openreview.net/forum?id=pb2U4WrAAv","Conor Heins, Hao Wu, Dimitrije Markovic, Alexander Tschantz, Jeff Beck, and Christopher Buckley"
"Toward Information Theoretic Active Inverse Reinforcement Learning","https://openreview.net/pdf?id=pZkdLu3l81","https://openreview.net/forum?id=pZkdLu3l81","Ondrej Bajgar, Dewi Sid William Gould, Jonathon Liu, Oliver Newcombe, Rohan Narayan Langford Mitta, and Jack Golden"
"Posterior Sampling via Autoregressive Generation","https://openreview.net/pdf?id=pTSrqU2zpF","https://openreview.net/forum?id=pTSrqU2zpF","Kelly W. Zhang, Tiffany Cai, Hongseok Namkoong, and Daniel Russo"
"Amortized Bayesian Workflow (Extended Abstract)","https://openreview.net/pdf?id=pKZp2JjC76","https://openreview.net/forum?id=pKZp2JjC76","Marvin Schmitt, Chengkun LI, Aki Vehtari, Luigi Acerbi, Paul-Christian Bürkner, and Stefan T. Radev"
"Efficient Experimentation for Estimation of Continuous and Discrete Conditional Treatment Effects","https://openreview.net/pdf?id=p0JzKTdRXI","https://openreview.net/forum?id=p0JzKTdRXI","Muhammed Razzak, Panagiotis Tigas, Andrew Jesson, Yarin Gal, and Uri Shalit"
"Probabilistic predictions with Fourier neural operators","https://openreview.net/pdf?id=orKA6gJwlB","https://openreview.net/forum?id=orKA6gJwlB","Christopher Bülte, Philipp Scholl, and Gitta Kutyniok"
"A Bayesian Approach Towards Crowdsourcing the Truths from LLMs","https://openreview.net/pdf?id=oRW8i4EF0Z","https://openreview.net/forum?id=oRW8i4EF0Z","Peiran Yao, Jerin George Mathew, Shehraj Singh, Donatella Firmani, and Denilson Barbosa"
"Inverse-Free Sparse Variational Gaussian Processes","https://openreview.net/pdf?id=nFHpVRvOgH","https://openreview.net/forum?id=nFHpVRvOgH","Stefano Cortinovis, Laurence Aitchison, James Hensman, Stefanos Eleftheriadis, and Mark van der Wilk"
"Adjusting Model Size in Continual Gaussian Processes: How Big is Big Enough?","https://openreview.net/pdf?id=mjjyNwfmQe","https://openreview.net/forum?id=mjjyNwfmQe","Guiomar Pescador-Barrios, Sarah Lucie Filippi, and Mark van der Wilk"
"Variational Last Layers for Bayesian Optimization","https://openreview.net/pdf?id=lsFa23pHCH","https://openreview.net/forum?id=lsFa23pHCH","Paul Brunzema, Mikkel Jordahn, John Willes, Sebastian Trimpe, Jasper Snoek, and James Harrison"
"A Fast, Robust Elliptical Slice Sampling Method for Truncated Multivariate Normal Distributions","https://openreview.net/pdf?id=lbeplykgk5","https://openreview.net/forum?id=lbeplykgk5","Kaiwen Wu, and Jacob R. Gardner"
"Out-of-Distribution Detection & Applications With Ablated Learned Temperature Energy","https://openreview.net/pdf?id=lTNJDAdM1i","https://openreview.net/forum?id=lTNJDAdM1i","Will LeVine, Benjamin Pikus, Jacob Phillips, Berk Norman, Fernando Amat Gil, and Sean M. Hendryx"
"Constrained Multi-objective Bayesian Optimization","https://openreview.net/pdf?id=lHnbPVKbts","https://openreview.net/forum?id=lHnbPVKbts","Diantong Li, Fengxue Zhang, Chong Liu, and Yuxin Chen"
"MHP-DDP: Multivariate Hawkes Process with Dependent Dirichlet Process","https://openreview.net/pdf?id=lGXsGXA3Hy","https://openreview.net/forum?id=lGXsGXA3Hy","Alex Ziyu Jiang, and Abel Rodriguez"
"Finding Interior Optimum of Black-box Constrained Objective with Bayesian Optimization","https://openreview.net/pdf?id=jqj2xEaK3K","https://openreview.net/forum?id=jqj2xEaK3K","Fengxue Zhang, Zejie Zhu, and Yuxin Chen"
"Incremental Uncertainty-aware Performance Monitoring with Labeling Intervention","https://openreview.net/pdf?id=iygohishpS","https://openreview.net/forum?id=iygohishpS","Alexander Koebler, Thomas Decker, Ingo Thon, Volker Tresp, and Florian Buettner"
"(Implicit) Ensembles of Ensembles: Epistemic Uncertainty Collapse in Large Models","https://openreview.net/pdf?id=hR3mhI2p2K","https://openreview.net/forum?id=hR3mhI2p2K","Andreas Kirsch"
"BOTS: Batch Bayesian Optimization of Extended Thompson Sampling for Severely Episode-Limited RL Settings","https://openreview.net/pdf?id=fu5tWxAtZ3","https://openreview.net/forum?id=fu5tWxAtZ3","Karine Karine, Susan Murphy, and Benjamin Marlin"
"Two Students: Enabling Uncertainty Quantification in Federated Learning Clients","https://openreview.net/pdf?id=eS9xH4vHEe","https://openreview.net/forum?id=eS9xH4vHEe","Cristovão Iglesias Jr, Sidney Alves de Outeiro, Claudio Miceli de Farias, and Miodrag Bolic"
"Uncertainty Quantification and Calibration for Audio-driven Disease Diagnosis","https://openreview.net/pdf?id=e7HDGVGgJS","https://openreview.net/forum?id=e7HDGVGgJS","Shubham Kulkarni, Hideaki Watanabe, and Fuminori Homma"
"Hi-fi functional priors by learning activations","https://openreview.net/pdf?id=deXcOn4ScH","https://openreview.net/forum?id=deXcOn4ScH","Marcin Sendera, Amin Sorkhei, and Tomasz Kuśmierczyk"
"Amortized Decision-Aware Bayesian Experimental Design","https://openreview.net/pdf?id=dDqNhoNHFo","https://openreview.net/forum?id=dDqNhoNHFo","Daolang Huang, Yujia Guo, Luigi Acerbi, and Samuel Kaski"
"Posterior Inferred, Now What? Streamlining Prediction in Bayesian Deep Learning","https://openreview.net/pdf?id=cx9TXPTzt9","https://openreview.net/forum?id=cx9TXPTzt9","Rui Li, Marcus Klasson, Arno Solin, and Martin Trapp"
"Bayesian Nonparametric Learning using the Maximum Mean Discrepancy Measure for Synthetic Data Generation","https://openreview.net/pdf?id=bXAR2BOFJJ","https://openreview.net/forum?id=bXAR2BOFJJ","Forough Fazeli-Asl, Michael Minyi Zhang, and Lizhen Lin"
"Lightspeed Black-box Bayesian Optimization via Local Score Matching","https://openreview.net/pdf?id=b9N6i7QYDA","https://openreview.net/forum?id=b9N6i7QYDA","Yakun Wang, Sherman Khoo, and Song Liu"
"The role of tail dependence in estimating posterior expectations","https://openreview.net/pdf?id=Zxk07UdWEy","https://openreview.net/forum?id=Zxk07UdWEy","Nicola Branchini, and Víctor Elvira"
"Universal Functional Regression with Neural Operator Flows","https://openreview.net/pdf?id=ZCtnWuaZiI","https://openreview.net/forum?id=ZCtnWuaZiI","Yaozhong Shi, Angela F Gao, Zachary E Ross, and Kamyar Azizzadenesheli"
"Variational Bayes Gaussian Splatting","https://openreview.net/pdf?id=Z4499q83Td","https://openreview.net/forum?id=Z4499q83Td","Toon Van de Maele, Ozan Catal, Alexander Tschantz, Christopher Buckley, and Tim Verbelen"
"Efficient Bayesian Additive Regression Models For Microbiome Studies","https://openreview.net/pdf?id=XnP7waOEjc","https://openreview.net/forum?id=XnP7waOEjc","Tinghua Chen, Michelle Pistner Nixon, and Justin D Silverman"
"Rethinking Aleatoric and Epistemic Uncertainty","https://openreview.net/pdf?id=WIjgbXd2zK","https://openreview.net/forum?id=WIjgbXd2zK","Freddie Bickford Smith, Jannik Kossen, Eleanor Trollope, Mark van der Wilk, Adam Foster, and Tom Rainforth"
"Big Batch Bayesian Active Learning by Considering Predictive Probabilities","https://openreview.net/pdf?id=VikX9euujU","https://openreview.net/forum?id=VikX9euujU","Sebastian W. Ober, Samuel Power, Tom Diethe, and Henry Moss"
"Variational Inference in Similarity Spaces: A Bayesian Approach to Personalized Federated Learning","https://openreview.net/pdf?id=VOEVnNjJza","https://openreview.net/forum?id=VOEVnNjJza","Pedro H Barros, Fabricio Murai, Amir Houmansadr, Alejandro C. Frery, and Heitor Soares Ramos Filho"
"Variational Search Distributions","https://openreview.net/pdf?id=UYfx9b7Z1j","https://openreview.net/forum?id=UYfx9b7Z1j","Daniel M. Steinberg, Rafael Oliveira, Cheng Soon Ong, and Edwin V. Bonilla"
"Learning to Defer with an Uncertain Rejector via Conformal Prediction","https://openreview.net/pdf?id=TWb9y4PNSW","https://openreview.net/forum?id=TWb9y4PNSW","Yizirui Fang, and Eric Nalisnick"
"Post-Calibration Techniques: Balancing Calibration and Score Distribution Alignment","https://openreview.net/pdf?id=TIy0QuWPuE","https://openreview.net/forum?id=TIy0QuWPuE","Agathe Fernandes Machado, Arthur Charpentier, Emmanuel Flachaire, Ewen Gallic, and Francois HU"
"Uncertainty as a criterion for SOTIF evaluation of deep learning models in autonomous driving systems","https://openreview.net/pdf?id=SqiiTnpAad","https://openreview.net/forum?id=SqiiTnpAad","Ho Suk, and Shiho Kim"
"Atomic Layer Deposition Optimization via Targeted Adaptive Design.","https://openreview.net/pdf?id=SpDYpgBU7v","https://openreview.net/forum?id=SpDYpgBU7v","Marieme Ngom, Carlo Graziani, and Noah Paulson"
"Fast, Precise Thompson Sampling for Bayesian Optimization","https://openreview.net/pdf?id=SAFIkA4Lap","https://openreview.net/forum?id=SAFIkA4Lap","David Sweet"
"Scalable Permutation Invariant Multi-Output Gaussian Processes for Cancer Drug Response","https://openreview.net/pdf?id=RfUbUal8DK","https://openreview.net/forum?id=RfUbUal8DK","Leiv Rønneberg, and Vidhi Lalchand"
"Bayesian Optimal Experimental Design of Streaming Data Incorporating Machine Learning Generated Synthetic Data","https://openreview.net/pdf?id=RKxzpg9Kta","https://openreview.net/forum?id=RKxzpg9Kta","Kentaro Hoffman, and Tyler McCormick"
"An Information-Theoretic Analysis of Thompson Sampling for Logistic Bandits","https://openreview.net/pdf?id=RG55EFkZ6R","https://openreview.net/forum?id=RG55EFkZ6R","Amaury Gouverneur, Borja Rodríguez Gálvez, Tobias Oechtering, and Mikael Skoglund"
"Decision-Driven Calibration for Cost-Sensitive Uncertainty Quantification","https://openreview.net/pdf?id=RBlQKY10KY","https://openreview.net/forum?id=RBlQKY10KY","Gregory Canal, Vladimir Leung, John J. Guerrerio, Philip Sage, and I-Jeng Wang"
"Data-Efficient Variational Mutual Information Estimation via Bayesian Self-Consistency","https://openreview.net/pdf?id=QfiyElaO1f","https://openreview.net/forum?id=QfiyElaO1f","Desi R. Ivanova, Marvin Schmitt, and Stefan T. Radev"
"Riemannian Black Box Variational Inference","https://openreview.net/pdf?id=QBbc0L5Zpb","https://openreview.net/forum?id=QBbc0L5Zpb","Mykola Lukashchuk, Wouter W. L. Nuijten, Dmitry Bagaev, Ismail Senoz, and Bert de Vries"
"Bayesian Optimization for High-dimensional Urban Mobility Problems","https://openreview.net/pdf?id=QAk81qFRWV","https://openreview.net/forum?id=QAk81qFRWV","Seongjin Choi, Sergio Rodriguez, and Carolina Osorio"
